,Datetime,Tweet Id,Text,tweet_clean,no_emoji
0,2022-07-05 18:23:23+00:00,1544386473914503176,"Eddie Munson again, because why not ?

#strangerthings  #strangerthingsseason4 https://t.co/jyy7ufmVBX","again , because why not ? strangerthingsseason4","again , because why not ? strangerthingsseason4"
1,2022-07-05 18:23:16+00:00,1544386444889886724,"Damn dude, Dustin fucking pulls

#strangerthingsseason4 #StrangerThings4 #strangerthings https://t.co/jHordz1TrX","Damn dude , strangerthingsseason4 StrangerThings4","Damn dude , strangerthingsseason4 StrangerThings4"
2,2022-07-05 18:22:49+00:00,1544386333132705792,@strangerwriters This series make’s a family around the world. appreciated #strangerthingsseason4,This series make ’ s a family around the world . strangerthingsseason4,This series make ’ s a family around the world . strangerthingsseason4
3,2022-07-05 18:22:33+00:00,1544386263066857472,this must be in the history books #strangerthingsseason4 #EddieMunson https://t.co/p92L0xCAjY,this must be in the history strangerthingsseason4,this must be in the history strangerthingsseason4
4,2022-07-05 18:22:22+00:00,1544386220171710476,Who’s ready to turn up today? Who’s finished stranger things? What are you smoking on today? #StrangerThings4… https://t.co/ALm7Yh7znl,Who ’ s ready to turn up today ? Who ’ s finished stranger ? What are you smoking on today ? StrangerThings4 …,Who ’ s ready to turn up today ? Who ’ s finished stranger ? What are you smoking on today ? StrangerThings4 …
5,2022-07-05 18:22:11+00:00,1544386171526070278,"Eddie Munson everyone. 🔥

(My little shitty drawing)

#strangerthings #strangerthingsseason4 https://t.co/6U3O3dHIuH",everyone . 🔥 ( My little drawing ) strangerthingsseason4,everyone . fire ( My little drawing ) strangerthingsseason4
6,2022-07-05 18:21:26+00:00,1544385984992870400,"Yes it's!
#strangerthingsseason4 https://t.co/r9QEHaN7cc",Yes it ' s ! strangerthingsseason4,Yes it ' s ! strangerthingsseason4
7,2022-07-05 18:20:41+00:00,1544385793103388674,"@BuffySummerSin @JohnnyLCKai I got this. Stand aside guys.
#strangerthingsseason4 https://t.co/hErl0TVfaI",I got this . Stand aside . strangerthingsseason4,I got this . Stand aside . strangerthingsseason4
8,2022-07-05 18:18:37+00:00,1544385275194900481,@ScullyDanaXfile Nice to meet you hot stuff. #strangerthingsseason4 #TheXFiles https://t.co/LNV9wQJkS6,Nice to meet you hot stuff . strangerthingsseason4,Nice to meet you hot stuff . strangerthingsseason4
9,2022-07-05 18:18:19+00:00,1544385197793312770,"I’m really gonna miss u🥲
#strangerthingsseason4 #eddiemuson https://t.co/4LpdkQhdHb",I ’ m really miss u 🥲 strangerthingsseason4,I ’ m really miss u 🥲 strangerthingsseason4
10,2022-07-05 18:18:10+00:00,1544385162737512448,Done #strangerthingsseason4 at last!!!!,Done strangerthingsseason4 at last !!!!,Done strangerthingsseason4 at last !!!!
11,2022-07-05 18:18:08+00:00,1544385152977195008,reminds me of louis’ walls music video #strangerthingsseason4 https://t.co/ElfOULF6db,me of ’ music video strangerthingsseason4,me of ’ music video strangerthingsseason4
12,2022-07-05 18:17:30+00:00,1544384992180113410,Well I bawled my eyes out after watching #strangerthingsseason4 last night! It was good but heart wrenching! 🥲,Well I my out after watching strangerthingsseason4 last night ! It was good but heart ! 🥲,Well I my out after watching strangerthingsseason4 last night ! It was good but heart ! 🥲
13,2022-07-05 18:16:08+00:00,1544384649618661378,"Wow thanks, Eddie! We agree! #strangerthingsseason4 https://t.co/n7M9fViAe0","Wow thanks , ! We agree ! strangerthingsseason4","Wow thanks , ! We agree ! strangerthingsseason4"
14,2022-07-05 18:15:33+00:00,1544384502734000129,"GN everyone 🙌🏻 . 
VECNA , art for @HardTimes_UK #Vecna #StrangerThings #strangerthingsseason4 #illustration #art… https://t.co/WopO1C881U","everyone 🙌🏻 . , art for strangerthingsseason4 illustration art …","everyone raising hands light skin tone . , art for strangerthingsseason4 illustration art …"
15,2022-07-05 18:14:53+00:00,1544384336060891137,"This is my new canon, I accept no other versions
#StrangerThings5 #strangerthingsseason4 #StrangerThings4… https://t.co/wTcCFyjuXb","This is my new canon , I accept no other StrangerThings5 strangerthingsseason4 StrangerThings4 …","This is my new canon , I accept no other StrangerThings5 strangerthingsseason4 StrangerThings4 …"
16,2022-07-05 18:14:42+00:00,1544384288082231297,"Awwwww… 🥰

The twosome of cuteness! 

#jopper #davidxwinona #strangerthingsseason4 #StrangerThings4 #davidharbour… https://t.co/ciXLLBNJ4A",A 🥰 The twosome of cuteness ! strangerthingsseason4 StrangerThings4 …,A smiling face with three hearts The twosome of cuteness ! strangerthingsseason4 StrangerThings4 …
17,2022-07-05 18:13:16+00:00,1544383929448366084,“Papa…me want more Stranger Things now!” Pulled this cool 11 figure from a blind box from funko and took some pics… https://t.co/2Twh6NyQez,“ Papa … me want more Stranger now !” this cool 11 figure from a blind box from and took some …,“ Papa … me want more Stranger now !” this cool 11 figure from a blind box from and took some …
18,2022-07-05 18:13:09+00:00,1544383900084051975,"My absolutely plausible @Stranger_Things theory
#StrangerThings4 #strangerthingsseason4 #strangerthings… https://t.co/tUcsgR7HQu",My absolutely plausible theory StrangerThings4 strangerthingsseason4 …,My absolutely plausible theory StrangerThings4 strangerthingsseason4 …
19,2022-07-05 18:12:43+00:00,1544383790801371139,"I have tried to fight it but i think it's too late for me. I admit it, I'm obsessed with Eddie. Okay there I said i… https://t.co/fJJreMgFTb","I have tried to fight it but i think it ' s too late for me . I admit it , I ' m with . there I said i …","I have tried to fight it but i think it ' s too late for me . I admit it , I ' m with . there I said i …"
20,2022-07-05 18:12:06+00:00,1544383636971130882,The most epic scene in all of Stranger Things. Nothing in the series so far captured the essence of the dark metal… https://t.co/Y0sslQIx08,The most epic scene in all of Stranger . Nothing in the series so far the essence of the dark metal …,The most epic scene in all of Stranger . Nothing in the series so far the essence of the dark metal …
21,2022-07-05 18:12:03+00:00,1544383622169432066,Dude. It’s been 4 days since #strangerthingsseason4 part 2 came out and I had a pretty pivotal moment and character… https://t.co/riynKZiqOD,Dude . It ’ s been 4 days since strangerthingsseason4 part 2 came out and I had a pretty pivotal moment and character …,Dude . It ’ s been 4 days since strangerthingsseason4 part 2 came out and I had a pretty pivotal moment and character …
22,2022-07-05 18:11:51+00:00,1544383571015733248,#strangerthingsseason4  me trying to explain how eddie survived: https://t.co/b5KCBiRbHu,strangerthingsseason4 me trying to explain how :,strangerthingsseason4 me trying to explain how :
23,2022-07-05 18:11:49+00:00,1544383565156290561,"I like my Stranger Things S4 like I like my A Nightmare On Elm St.

…Basically the same. 👍

(I actually dig that it… https://t.co/YpY5hraGEY",I like my Stranger S4 like I like my A Nightmare On Elm St . … Basically the same . 👍 ( I actually dig that it …,I like my Stranger S4 like I like my A Nightmare On Elm St . … Basically the same . +1 ( I actually dig that it …
24,2022-07-05 18:11:10+00:00,1544383401045774337,"@TerrySilver_ @HawkinsRobinB Chill out old dude. We don’t need to fight, it was a joke. #StrangerThings4… https://t.co/imfaC0rwT2","Chill out old dude . We don ’ t need to fight , it was a joke . StrangerThings4 …","Chill out old dude . We don ’ t need to fight , it was a joke . StrangerThings4 …"
25,2022-07-05 18:11:07+00:00,1544383386805907458,Tryna convince myself to wait till my finals are over to watch #strangerthingsseason4,convince myself to wait till my are over to watch strangerthingsseason4,convince myself to wait till my are over to watch strangerthingsseason4
